iter	Passed	Remaining
0	4	4172
1	7	3870
2	10	3613
3	13	3396
4	16	3230
5	19	3220
6	22	3145
7	24	3056
8	27	3013
9	30	2988
10	32	2938
11	35	2921
12	37	2870
13	40	2838
14	42	2799
15	45	2771
16	47	2745
17	50	2747
18	52	2730
19	55	2700
20	57	2684
21	60	2678
22	62	2668
23	66	2685
24	68	2685
25	71	2674
26	73	2654
27	76	2642
28	78	2634
29	81	2633
30	84	2644
31	87	2639
32	89	2630
33	92	2620
34	94	2608
35	97	2602
36	99	2601
37	102	2588
38	104	2577
39	107	2576
40	110	2582
41	113	2588
42	116	2587
43	118	2583
44	121	2574
45	123	2569
46	126	2563
47	129	2560
48	132	2572
49	135	2574
50	138	2569
51	140	2564
52	143	2558
53	146	2559
54	148	2557
55	150	2541
56	153	2537
57	156	2538
58	158	2535
59	162	2538
60	165	2552
61	168	2550
62	171	2551
63	174	2549
64	177	2547
65	180	2552
66	183	2552
67	186	2551
68	189	2552
69	192	2550
70	195	2554
71	198	2552
72	200	2550
73	203	2546
74	206	2543
75	209	2544
76	212	2545
77	215	2545
78	218	2543
79	220	2540
80	223	2536
81	226	2536
82	229	2534
83	232	2532
84	235	2530
85	237	2529
86	241	2531
87	244	2530
88	247	2530
89	250	2528
90	252	2526
91	255	2524
92	258	2522
93	261	2522
94	264	2521
95	267	2516
96	270	2514
97	272	2511
98	275	2510
99	278	2508
100	281	2506
101	284	2503
102	287	2500
103	289	2497
104	292	2496
105	295	2493
106	298	2492
107	301	2489
108	304	2486
109	306	2483
110	309	2478
111	311	2471
112	314	2466
113	316	2461
114	318	2454
115	321	2448
116	324	2446
117	326	2442
118	329	2435
119	331	2434
120	335	2434
121	338	2436
122	342	2439
123	345	2440
124	348	2439
125	351	2434
126	353	2430
127	356	2430
128	359	2428
129	362	2425
130	365	2422
131	367	2417
132	370	2413
133	373	2412
134	376	2409
135	378	2404
136	380	2398
137	383	2392
138	385	2387
139	388	2384
140	390	2381
141	393	2377
142	395	2372
143	398	2368
144	400	2363
145	403	2357
146	406	2357
147	408	2354
148	411	2350
149	413	2345
150	416	2339
151	418	2334
152	421	2331
153	423	2328
154	426	2323
155	428	2318
156	431	2314
157	433	2310
158	436	2309
159	439	2309
160	443	2309
161	446	2307
162	448	2303
163	451	2299
164	453	2296
165	456	2292
166	458	2289
167	461	2284
168	463	2280
169	466	2276
170	469	2276
171	473	2277
172	476	2275
173	478	2272
174	481	2271
175	484	2270
176	488	2270
177	491	2268
178	494	2268
179	497	2266
180	500	2263
181	503	2262
182	506	2260
183	508	2255
184	511	2251
185	513	2247
186	515	2243
187	518	2240
188	521	2235
189	523	2231
190	526	2228
191	529	2226
192	532	2224
193	535	2222
194	537	2219
195	540	2216
196	542	2213
197	545	2208
198	547	2203
199	550	2200
200	552	2197
201	555	2193
202	557	2189
203	559	2184
204	562	2180
205	564	2177
206	567	2175
207	571	2174
208	573	2172
209	576	2169
210	579	2167
211	582	2165
212	585	2163
213	588	2160
214	590	2157
215	593	2154
216	595	2150
217	598	2147
218	601	2143
219	603	2139
220	605	2135
221	608	2131
222	610	2127
223	613	2123
224	615	2121
225	618	2118
226	621	2115
227	623	2111
228	625	2107
229	628	2103
230	631	2101
231	633	2097
232	636	2093
233	638	2089
234	640	2086
235	643	2082
236	645	2078
237	648	2075
238	650	2071
239	653	2067
240	655	2063
241	657	2060
242	660	2056
243	663	2054
244	666	2053
245	669	2051
246	672	2049
247	675	2047
248	678	2044
249	681	2043
250	684	2042
251	687	2039
252	689	2036
253	691	2032
254	694	2029
255	697	2026
256	700	2023
257	702	2020
258	705	2017
259	708	2015
260	711	2014
261	714	2013
262	717	2010
263	720	2008
264	723	2007
265	726	2005
266	730	2005
267	733	2003
268	736	2000
269	739	1998
270	741	1995
271	744	1993
272	747	1991
